num,"time","in_fuel","out_power"
4570,"11.02.2018 7:09","8,01827","119,696"
4580,"11.02.2018 7:19","7,95728","119,386"
4590,"11.02.2018 7:29","7,99734","120,388"
4600,"11.02.2018 7:39","8,01882","119,625"
4610,"11.02.2018 7:49","7,98082","120,508"
4620,"11.02.2018 7:59","8,06893","120,579"
4630,"11.02.2018 8:09","8,9996","146,719"
4640,"11.02.2018 8:19","10,0395","174,29"
4650,"11.02.2018 8:29","11,0797","202,292"
4660,"11.02.2018 8:39","12,2726","230,842"
4670,"11.02.2018 8:49","13,3671","257,865"
4680,"11.02.2018 8:59","14,5019","283,407"
4690,"11.02.2018 9:09","14,5623","284,41"
4700,"11.02.2018 9:19","14,63","284,983"
4710,"11.02.2018 9:29","14,5114","284,983"
4720,"11.02.2018 9:39","14,4843","285,747"
4730,"11.02.2018 9:49","14,5812","284,481"
4740,"11.02.2018 9:59","14,4478","286,916"
4750,"11.02.2018 10:09","14,4608","283,837"
4760,"11.02.2018 10:19","14,4449","285,341"
4770,"11.02.2018 10:29","14,5425","285,627"
4780,"11.02.2018 10:39","14,4912","284,959"
4790,"11.02.2018 10:49","14,6218","285,603"
4800,"11.02.2018 10:59","14,2059","285,508"
4810,"11.02.2018 11:09","14,482","284,816"
4820,"11.02.2018 11:19","14,5397","286,152"
4830,"11.02.2018 11:29","14,4663","285,747"
4840,"11.02.2018 11:39","14,5159","285,508"
4850,"11.02.2018 11:49","14,5382","285,914"
4860,"11.02.2018 11:59","14,4885","285,388"
4870,"11.02.2018 12:09","14,554","285,794"
4880,"11.02.2018 12:19","14,5436","285,938"
4890,"11.02.2018 12:29","14,5258","285,293"
4900,"11.02.2018 12:39","14,5732","286,176"
4910,"11.02.2018 12:49","14,4611","285,842"
4920,"11.02.2018 12:59","14,4787","286,487"
4930,"11.02.2018 13:09","14,5069","284,505"
4940,"11.02.2018 13:19","14,4717","284,434"
4950,"11.02.2018 13:29","14,4713","284,505"
4960,"11.02.2018 13:39","14,5154","284,314"
4970,"11.02.2018 13:49","14,4327","285,532"
4980,"11.02.2018 13:59","14,4499","285,508"
4990,"11.02.2018 14:09","14,4551","285,579"
5000,"11.02.2018 14:19","14,3575","284,505"
5010,"11.02.2018 14:29","14,5087","284,386"
5020,"11.02.2018 14:39","14,4649","284,004"
5030,"11.02.2018 14:49","14,3985","285,699"
5040,"11.02.2018 14:59","14,4658","284,505"
5050,"11.02.2018 15:09","14,4556","285,556"
5060,"11.02.2018 15:19","14,5476","284,314"
5070,"11.02.2018 15:29","14,437","285,197"
5080,"11.02.2018 15:39","14,4622","284,004"
5090,"11.02.2018 15:49","14,4256","284,314"
5100,"11.02.2018 15:59","14,4502","285,388"
5110,"11.02.2018 16:09","14,575","285,532"
5120,"11.02.2018 16:19","14,4983","284,41"
5130,"11.02.2018 16:29","14,5709","284,887"
5140,"11.02.2018 16:39","14,5345","284,314"
5150,"11.02.2018 16:49","14,4386","283,646"
5160,"11.02.2018 16:59","14,4503","285,579"
5170,"11.02.2018 17:09","14,4859","284,338"
5180,"11.02.2018 17:19","14,454","285,46"
5190,"11.02.2018 17:29","14,4715","283,956"
5200,"11.02.2018 17:39","14,5419","284,314"
5210,"11.02.2018 17:49","14,3893","284,171"
5220,"11.02.2018 17:59","14,4215","284,314"
5230,"11.02.2018 18:09","14,511","284,338"
5240,"11.02.2018 18:19","14,5103","286,128"
5250,"11.02.2018 18:29","14,4418","286,343"
5260,"11.02.2018 18:39","14,4818","284,076"
5270,"11.02.2018 18:49","14,3971","285,484"
5280,"11.02.2018 18:59","14,475","284,481"
5290,"11.02.2018 19:09","14,453","284,314"
5300,"11.02.2018 19:19","14,4185","284,887"
5310,"11.02.2018 19:29","14,4842","284,243"
5320,"11.02.2018 19:39","14,4932","284,577"
5330,"11.02.2018 19:49","14,4789","285,579"
5340,"11.02.2018 19:59","14,4456","285,938"
5350,"11.02.2018 20:09","14,4789","284,577"
5360,"11.02.2018 20:19","14,54","285,245"
5370,"11.02.2018 20:29","14,4047","285,532"
5380,"11.02.2018 20:39","14,4741","285,77"
5390,"11.02.2018 20:49","14,4384","284,386"
5400,"11.02.2018 20:59","14,6401","285,317"
5410,"11.02.2018 21:09","14,4641","285,46"
5420,"11.02.2018 21:19","13,9201","271,424"
5430,"11.02.2018 21:29","13,5462","264,31"
5440,"11.02.2018 21:39","14,1351","274,264"
